기준일자,주요국가대륙명,국가명,목적구분,인원,전년동기,증감률
202209,대륙전체,연도,관광,213310.0,19611.0,987.7
202209,대륙전체,연도,상용,8528.0,1895.0,350.0
202209,대륙전체,연도,공용,3589.0,1725.0,108.1
202209,대륙전체,연도,유학연수,21701.0,11393.0,90.5
202209,대륙전체,연도,기타,90510.0,55176.0,64.0
202209,대륙전체,연도,전체,337638.0,89800.0,276.0
202209,아시아,연도대륙,관광,111510.0,8303.0,1_243.0
202209,아시아,연도대륙,상용,7250.0,1109.0,553.7
202209,아시아,연도대륙,공용,1547.0,226.0,584.5
202209,아시아,연도대륙,유학연수,20570.0,10256.0,100.6
202209,아시아,연도대륙,기타,57521.0,29901.0,92.4
202209,아시아,연도대륙,전체,198398.0,49795.0,298.4
202209,아시아,중국,관광,8107.0,1264.0,541.4
202209,아시아,중국,상용,966.0,354.0,172.9
202209,아시아,중국,공용,76.0,8.0,850.0
202209,아시아,중국,유학연수,9975.0,7217.0,38.2
202209,아시아,중국,기타,10407.0,10301.0,1.0
202209,아시아,중국,전체,29531.0,19144.0,54.3
202209,아시아,일본,관광,23413.0,72.0,32_418.1
202209,아시아,일본,상용,1504.0,149.0,909.4
202209,아시아,일본,공용,64.0,12.0,433.3
202209,아시아,일본,유학연수,1143.0,313.0,265.2
202209,아시아,일본,기타,1436.0,596.0,140.9
202209,아시아,일본,전체,27560.0,1142.0,2_313.3
202209,아시아,대만,관광,3719.0,63.0,5_803.2
202209,아시아,대만,상용,343.0,26.0,1_219.2
202209,아시아,대만,공용,5.0,1.0,400.0
202209,아시아,대만,유학연수,148.0,33.0,348.5
202209,아시아,대만,기타,340.0,171.0,98.8
202209,아시아,대만,전체,4555.0,294.0,1_449.3
202209,아시아,홍콩,관광,3002.0,13.0,22_992.3
202209,아시아,홍콩,상용,53.0,23.0,130.4
202209,아시아,홍콩,공용,0.0,0.0,0
202209,아시아,홍콩,유학연수,93.0,62.0,50.0
202209,아시아,홍콩,기타,77.0,29.0,165.5
202209,아시아,홍콩,전체,3225.0,127.0,2_439.4
202209,아시아,마카오,관광,33.0,2.0,1_550.0
202209,아시아,마카오,상용,1.0,1.0,0.0
202209,아시아,마카오,공용,0.0,0.0,0
202209,아시아,마카오,유학연수,3.0,3.0,0.0
202209,아시아,마카오,기타,4.0,0.0,0
202209,아시아,마카오,전체,41.0,6.0,583.3
