Base date, Major countries and continents, country name, Purpose classification, personnel, Same period last year, increase/decrease rate
201601, Entire continent, year, tourism,865064,723255,19.6
201601, Entire continent, year, commercial,15867,17686,-10.3
201601, Entire continent, year, Public,3316,3094,7.2
201601, Entire continent, year, Study Abroad,9352,7752,20.6
201601, Entire continent, year, etc,183832,165267,11.2
201601, Entire continent, year, entire,1077431,917054,17.5
201601, Asia, Year and Continent, tourism,768650,633146,21.4
201601, Asia, Year and Continent, commercial,11312,12391,-8.7
201601, Asia, Year and Continent, Public,960,1062,-9.6
201601, Asia, Year and Continent, Study Abroad,7785,6322,23.1
201601, Asia, Year and Continent, etc,123580,110230,12.1
201601, Asia, Year and Continent, entire,912287,763151,19.5
201601, Asia, china, tourism,456636,327225,39.5
201601, Asia, china, commercial,3723,4310,-13.6
201601, Asia, china, Public,140,165,-15.2
201601, Asia, china, Study Abroad,4383,3778,16
201601, Asia, china, etc,57099,58867,-3
201601, Asia, china, entire,521981,394345,32.4
201601, Asia, japan, tourism,129290,131909,-2
201601, Asia, japan, commercial,2617,2606,0.4
201601, Asia, japan, Public,139,110,26.4
201601, Asia, japan, Study Abroad,762,695,9.6
201601, Asia, japan, etc,4076,4312,-5.5
201601, Asia, japan, entire,136884,139632,-2
201601, Asia, taiwan, tourism,56752,48909,16
201601, Asia, taiwan, commercial,57,44,29.5
201601, Asia, taiwan, Public,9,13,-30.8
201601, Asia, taiwan, Study Abroad,97,110,-11.8
201601, Asia, taiwan, etc,785,722,8.7
201601, Asia, taiwan, entire,57700,49798,15.9
201601, Asia, Hong Kong, tourism,32956,34672,-4.9
201601, Asia, Hong Kong, commercial,64,36,77.8
201601, Asia, Hong Kong, Public,0,0,0
201601, Asia, Hong Kong, Study Abroad,73,85,-14.1
201601, Asia, Hong Kong, etc,534,614,-13
201601, Asia, Hong Kong, entire,33627,35407,-5
201601, Asia, Macau, tourism,2822,2531,11.5
201601, Asia, Macau, commercial,0,1,-100
201601, Asia, Macau, Public,0,0,0
201601, Asia, Macau, Study Abroad,8,10,-20
201601, Asia, Macau, etc,16,29,-44.8
201601, Asia, Macau, entire,2846,2571,10.7
201601, Asia, Philippines, tourism,9105,8883,2.5
201601, Asia, Philippines, commercial,314,347,-9.5
201601, Asia, Philippines, Public,129,88,46.6
201601, Asia, Philippines, Study Abroad,204,154,32.5
201601, Asia, Philippines, etc,21346,15244,40
201601, Asia, Philippines, entire,31098,24716,25.8
201601, Asia, Indonesia, tourism,7977,7582,5.2
201601, Asia, Indonesia, commercial,269,163,65
201601, Asia, Indonesia, Public,17,15,13.3
201601, Asia, Indonesia, Study Abroad,155,111,39.6
201601, Asia, Indonesia, etc,7339,4249,72.7
201601, Asia, Indonesia, entire,15757,12120,30
201601, Asia, thailand, tourism,33315,34814,-4.3
201601, Asia, thailand, commercial,36,38,-5.3
201601, Asia, thailand, Public,80,87,-8
201601, Asia, thailand, Study Abroad,89,72,23.6
201601, Asia, thailand, etc,5512,5869,-6.1
201601, Asia, thailand, entire,39032,40880,-4.5
201601, Asia, vietnam, tourism,4237,3254,30.2
201601, Asia, vietnam, commercial,259,395,-34.4
201601, Asia, vietnam, Public,38,143,-73.4
201601, Asia, vietnam, Study Abroad,654,323,102.5
201601, Asia, vietnam, etc,3655,3780,-3.3
201601, Asia, vietnam, entire,8843,7895,12
201601, Asia, India, tourism,2076,1824,13.8
201601, Asia, India, commercial,2234,2270,-1.6
201601, Asia, India, Public,30,22,36.4
201601, Asia, India, Study Abroad,137,84,63.1
201601, Asia, India, etc,5835,3028,92.7
201601, Asia, India, entire,10312,7228,42.7
201601, Asia, malaysia, tourism,11822,10609,11.4
201601, Asia, malaysia, commercial,184,201,-8.5
201601, Asia, malaysia, Public,5,2,150
201601, Asia, malaysia, Study Abroad,85,85,0
201601, Asia, malaysia, etc,1811,1499,20.8
201601, Asia, malaysia, entire,13907,12396,12.2
201601, Asia, Singapore, tourism,6644,7474,-11.1
201601, Asia, Singapore, commercial,157,123,27.6
201601, Asia, Singapore, Public,4,5,-20
201601, Asia, Singapore, Study Abroad,38,56,-32.1
201601, Asia, Singapore, etc,1418,1276,11.1
201601, Asia, Singapore, entire,8261,8934,-7.5
201601, Asia, Mongolia, tourism,5357,5090,5.2
201601, Asia, Mongolia, commercial,113,143,-21
201601, Asia, Mongolia, Public,183,238,-23.1
201601, Asia, Mongolia, Study Abroad,361,291,24.1
201601, Asia, Mongolia, etc,510,437,16.7
201601, Asia, Mongolia, entire,6524,6199,5.2
201601, Asia, Uzbekistan, tourism,1818,1001,81.6
201601, Asia, Uzbekistan, commercial,284,724,-60.8
201601, Asia, Uzbekistan, Public,0,0,0
201601, Asia, Uzbekistan, Study Abroad,106,47,125.5
201601, Asia, Uzbekistan, etc,2880,1829,57.5
201601, Asia, Uzbekistan, entire,5088,3601,41.3
201601, Asia, Myanmar, tourism,1068,1123,-4.9
201601, Asia, Myanmar, commercial,29,25,16
201601, Asia, Myanmar, Public,44,10,340
201601, Asia, Myanmar, Study Abroad,32,25,28
201601, Asia, Myanmar, etc,4119,3303,24.7
201601, Asia, Myanmar, entire,5292,4486,18
201601, Asia, GCC, tourism,1317,1301,1.2
201601, Asia, GCC, commercial,29,34,-14.7
201601, Asia, GCC, Public,7,5,40
201601, Asia, GCC, Study Abroad,84,77,9.1
201601, Asia, GCC, etc,92,74,24.3
201601, Asia, GCC, entire,1529,1491,2.5
201601, Asia, Kazakhstan, tourism,1980,1916,3.3
201601, Asia, Kazakhstan, commercial,9,18,-50
201601, Asia, Kazakhstan, Public,1,0,0
201601, Asia, Kazakhstan, Study Abroad,80,44,81.8
201601, Asia, Kazakhstan, etc,454,285,59.3
201601, Asia, Kazakhstan, entire,2524,2263,11.5
201601, Asia, Turkye, tourism,723,664,8.9
201601, Asia, Turkye, commercial,17,18,-5.6
201601, Asia, Turkye, Public,14,17,-17.6
201601, Asia, Turkye, Study Abroad,27,22,22.7
201601, Asia, Turkye, etc,821,671,22.4
201601, Asia, Turkye, entire,1602,1392,15.1
201601, Asia, Cambodia, tourism,290,240,20.8
201601, Asia, Cambodia, commercial,31,22,40.9
201601, Asia, Cambodia, Public,32,34,-5.9
201601, Asia, Cambodia, Study Abroad,44,32,37.5
201601, Asia, Cambodia, etc,1567,976,60.6
201601, Asia, Cambodia, entire,1964,1304,50.6
201601, Asia, Sri Lanka, tourism,130,120,8.3
201601, Asia, Sri Lanka, commercial,49,44,11.4
201601, Asia, Sri Lanka, Public,1,2,-50
201601, Asia, Sri Lanka, Study Abroad,48,11,336.4
201601, Asia, Sri Lanka, etc,1246,1073,16.1
201601, Asia, Sri Lanka, entire,1474,1250,17.9
201601, Asia, Bangladesh, tourism,157,96,63.5
201601, Asia, Bangladesh, commercial,131,80,63.7
201601, Asia, Bangladesh, Public,14,11,27.3
201601, Asia, Bangladesh, Study Abroad,92,42,119
