Date,Continents,Country,Gender,Visitors,Visitors Same Period Previous Year,Growth
201601, Oceania,Australia, male,5295,5402,-2
201601, Oceania,Australia, female,4414,4379,0.8
201601, Oceania,Australia, Stewardess,271,216,25.5
201601, Oceania,Australia, entire,9980,9997,-0.2
201602, Oceania,Australia, male,4239,3972,6.7
201602, Oceania,Australia, female,2807,2785,0.8
201602, Oceania,Australia, Stewardess,292,253,15.4
201602, Oceania,Australia, entire,7338,7010,4.7
201603, Oceania,Australia, male,7022,5728,22.6
201603, Oceania,Australia, female,5914,4347,36
201603, Oceania,Australia, Stewardess,383,930,-58.8
201603, Oceania,Australia, entire,13319,11005,21
201604, Oceania,Australia, male,7326,7379,-0.7
201604, Oceania,Australia, female,6356,6265,1.5
201604, Oceania,Australia, Stewardess,383,1882,-79.6
201604, Oceania,Australia, entire,14065,15526,-9.4
201605, Oceania,Australia, male,6933,6854,1.2
201605, Oceania,Australia, female,5563,5749,-3.2
201605, Oceania,Australia, Stewardess,399,1806,-77.9
201605, Oceania,Australia, entire,12895,14409,-10.5
201606, Oceania,Australia, male,6897,4547,51.7
201606, Oceania,Australia, female,5739,3586,60
201606, Oceania,Australia, Stewardess,384,371,3.5
201606, Oceania,Australia, entire,13020,8504,53.1
201607, Oceania,Australia, male,7736,4687,65.1
201607, Oceania,Australia, female,6933,3461,100.3
201607, Oceania,Australia, Stewardess,448,869,-48.4
201607, Oceania,Australia, entire,15117,9017,67.6
201608, Oceania,Australia, male,5326,4730,12.6
201608, Oceania,Australia, female,3994,3178,25.7
201608, Oceania,Australia, Stewardess,412,550,-25.1
201608, Oceania,Australia, entire,9732,8458,15.1
201609, Oceania,Australia, male,7637,6502,17.5
201609, Oceania,Australia, female,6713,5215,28.7
201609, Oceania,Australia, Stewardess,434,556,-21.9
201609, Oceania,Australia, entire,14784,12273,20.5
201610, Oceania,Australia, male,7540,7168,5.2
201610, Oceania,Australia, female,6036,5331,13.2
201610, Oceania,Australia, Stewardess,445,1503,-70.4
201610, Oceania,Australia, entire,14021,14002,0.1
201611, Oceania,Australia, male,6484,5410,19.9
201611, Oceania,Australia, female,5106,4048,26.1
201611, Oceania,Australia, Stewardess,337,301,12
201611, Oceania,Australia, entire,11927,9759,22.2
201612, Oceania,Australia, male,8020,6956,15.3
201612, Oceania,Australia, female,7437,6096,22
201612, Oceania,Australia, Stewardess,324,254,27.6
201612, Oceania,Australia, entire,15781,13306,18.6
201701, Oceania,Australia, male,6368,5295,20.3
201701, Oceania,Australia, female,5293,4414,19.9
201701, Oceania,Australia, Stewardess,323,271,19.2
201701, Oceania,Australia, entire,11984,9980,20.1
201702, Oceania,Australia, male,4912,4239,15.9
201702, Oceania,Australia, female,3351,2807,19.4
201702, Oceania,Australia, Stewardess,287,292,-1.7
201702, Oceania,Australia, entire,8550,7338,16.5
201703, Oceania,Australia, male,6951,7022,-1
201703, Oceania,Australia, female,5547,5914,-6.2
201703, Oceania,Australia, Stewardess,303,383,-20.9
201703, Oceania,Australia, entire,12801,13319,-3.9
201704, Oceania,Australia, male,9688,7326,32.2
201704, Oceania,Australia, female,9074,6356,42.8
201704, Oceania,Australia, Stewardess,278,383,-27.4
201704, Oceania,Australia, entire,19040,14065,35.4
201705, Oceania,Australia, male,6347,6933,-8.5
201705, Oceania,Australia, female,4853,5563,-12.8
201705, Oceania,Australia, Stewardess,318,399,-20.3
201705, Oceania,Australia, entire,11518,12895,-10.7
201706, Oceania,Australia, male,7100,6897,2.9
201706, Oceania,Australia, female,6070,5739,5.8
201706, Oceania,Australia, Stewardess,283,384,-26.3
201706, Oceania,Australia, entire,13453,13020,3.3
201707, Oceania,Australia, male,6395,7736,-17.3
201707, Oceania,Australia, female,5527,6933,-20.3
201707, Oceania,Australia, Stewardess,314,448,-29.9
201707, Oceania,Australia, entire,12236,15117,-19.1
201708, Oceania,Australia, male,5484,5326,3
201708, Oceania,Australia, female,4536,3994,13.6
201708, Oceania,Australia, Stewardess,342,412,-17
201708, Oceania,Australia, entire,10362,9732,6.5
201709, Oceania,Australia, male,6815,7637,-10.8
201709, Oceania,Australia, female,5884,6713,-12.3
201709, Oceania,Australia, Stewardess,280,434,-35.5
201709, Oceania,Australia, entire,12979,14784,-12.2
201710, Oceania,Australia, male,6329,7540,-16.1
201710, Oceania,Australia, female,5275,6036,-12.6
201710, Oceania,Australia, Stewardess,695,445,56.2
201710, Oceania,Australia, entire,12299,14021,-12.3
201711, Oceania,Australia, male,5198,6484,-19.8
201711, Oceania,Australia, female,4332,5106,-15.2
201711, Oceania,Australia, Stewardess,660,337,95.8
201711, Oceania,Australia, entire,10190,11927,-14.6
201712, Oceania,Australia, male,7657,8020,-4.5
201712, Oceania,Australia, female,7056,7437,-5.1
201712, Oceania,Australia, Stewardess,283,324,-12.7
201712, Oceania,Australia, entire,14996,15781,-5
201801, Oceania,Australia, male,6025,6368,-5.4
201801, Oceania,Australia, female,5363,5293,1.3
201801, Oceania,Australia, Stewardess,300,323,-7.1
201801, Oceania,Australia, entire,11688,11984,-2.5
201802, Oceania,Australia, male,4883,4912,-0.6
201802, Oceania,Australia, female,3613,3351,7.8
201802, Oceania,Australia, Stewardess,273,287,-4.9
201802, Oceania,Australia, entire,8769,8550,2.6
201803, Oceania,Australia, male,5757,6951,-17.2
201803, Oceania,Australia, female,4624,5547,-16.6
201803, Oceania,Australia, Stewardess,312,303,3
201803, Oceania,Australia, entire,10693,12801,-16.5
201804, Oceania,Australia, male,7799,9688,-19.5
201804, Oceania,Australia, female,7404,9074,-18.4
201804, Oceania,Australia, Stewardess,297,278,6.8
201804, Oceania,Australia, entire,15500,19040,-18.6
201805, Oceania,Australia, male,6686,6347,5.3
201805, Oceania,Australia, female,5502,4853,13.4
201805, Oceania,Australia, Stewardess,284,318,-10.7
201805, Oceania,Australia, entire,12472,11518,8.3
201806, Oceania,Australia, male,6322,7100,-11
201806, Oceania,Australia, female,5242,6070,-13.6
201806, Oceania,Australia, Stewardess,277,283,-2.1
201806, Oceania,Australia, entire,11841,13453,-12
201807, Oceania,Australia, male,6087,6395,-4.8
201807, Oceania,Australia, female,5130,5527,-7.2
201807, Oceania,Australia, Stewardess,274,314,-12.7
201807, Oceania,Australia, entire,11491,12236,-6.1
201808, Oceania,Australia, male,6098,5484,11.2
201808, Oceania,Australia, female,5195,4536,14.5
201808, Oceania,Australia, Stewardess,284,342,-17
201808, Oceania,Australia, entire,11577,10362,11.7
201809, Oceania,Australia, male,7827,6815,14.8
201809, Oceania,Australia, female,7216,5884,22.6
201809, Oceania,Australia, Stewardess,267,280,-4.6
201809, Oceania,Australia, entire,15310,12979,18
201810, Oceania,Australia, male,7738,6329,22.3
201810, Oceania,Australia, female,6707,5275,27.1
201810, Oceania,Australia, Stewardess,462,695,-33.5
201810, Oceania,Australia, entire,14907,12299,21.2
201811, Oceania,Australia, male,6094,5198,17.2
201811, Oceania,Australia, female,5374,4332,24.1
201811, Oceania,Australia, Stewardess,243,660,-63.2
201811, Oceania,Australia, entire,11711,10190,14.9
201812, Oceania,Australia, male,8617,7657,12.5
201812, Oceania,Australia, female,8267,7056,17.2
201812, Oceania,Australia, Stewardess,290,283,2.5
201812, Oceania,Australia, entire,17174,14996,14.5
201901, Oceania,Australia, male,7126,6025,18.3
201901, Oceania,Australia, female,6863,5363,28
201901, Oceania,Australia, Stewardess,296,300,-1.3
201901, Oceania,Australia, entire,14285,11688,22.2
201902, Oceania,Australia, male,4504,4883,-7.8
201902, Oceania,Australia, female,3512,3613,-2.8
201902, Oceania,Australia, Stewardess,315,273,15.4
201902, Oceania,Australia, entire,8331,8769,-5
201903, Oceania,Australia, male,6337,5757,10.1
201903, Oceania,Australia, female,5602,4624,21.2
201903, Oceania,Australia, Stewardess,324,312,3.8
201903, Oceania,Australia, entire,12263,10693,14.7
201904, Oceania,Australia, male,9697,7799,24.3
201904, Oceania,Australia, female,9901,7404,33.7
201904, Oceania,Australia, Stewardess,340,297,14.5
201904, Oceania,Australia, entire,19938,15500,28.6
201905, Oceania,Australia, male,7049,6686,5.4
201905, Oceania,Australia, female,6195,5502,12.6
201905, Oceania,Australia, Stewardess,314,284,10.6
201905, Oceania,Australia, entire,13558,12472,8.7
201906, Oceania,Australia, male,6796,6322,7.5
201906, Oceania,Australia, female,6132,5242,17
201906, Oceania,Australia, Stewardess,273,277,-1.4
201906, Oceania,Australia, entire,13201,11841,11.5
201907, Oceania,Australia, male,6091,6087,0.1
201907, Oceania,Australia, female,5451,5130,6.3
201907, Oceania,Australia, Stewardess,298,274,8.8
201907, Oceania,Australia, entire,11840,11491,3
201908, Oceania,Australia, male,6992,6098,14.7
201908, Oceania,Australia, female,6299,5195,21.3
201908, Oceania,Australia, Stewardess,356,284,25.4
201908, Oceania,Australia, entire,13647,11577,17.9
201909, Oceania,Australia, male,8830,7827,12.8
201909, Oceania,Australia, female,8103,7216,12.3
201909, Oceania,Australia, Stewardess,336,267,25.8
201909, Oceania,Australia, entire,17269,15310,12.8
201910, Oceania,Australia, male,8068,7738,4.3
201910, Oceania,Australia, female,7411,6707,10.5
201910, Oceania,Australia, Stewardess,772,462,67.1
201910, Oceania,Australia, entire,16251,14907,9
201911, Oceania,Australia, male,6666,6094,9.4
201911, Oceania,Australia, female,6141,5374,14.3
201911, Oceania,Australia, Stewardess,539,243,121.8
201911, Oceania,Australia, entire,13346,11711,14
201912, Oceania,Australia, male,9626,8617,11.7
201912, Oceania,Australia, female,9348,8267,13.1
201912, Oceania,Australia, Stewardess,315,290,8.6
