Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Argentina,Concert,Sep 12,Monsta X,Beautiful,"Buenos Aires, Argentina",Luna Park,---,MyMusicTaste
Argentina,Concert,Oct 04,K.A.R.D,Wild Kard Pt.2,"Buenos Aires, Argentina",Teatro Vorterix,AllAccess,MyMusicTaste
Australia,Concert,Aug 08,G-Dragon,"Act III, M.O.T.T.E.","Brisbane, Australia",Brisbane Entertainment Centre,LiveNation,---
Australia,Concert,Aug 12,G-Dragon,"Act III, M.O.T.T.E.","Melbourne, Australia",Hisense Arena,LiveNation,---
Australia,Concert,Sep 22-23,Various,KCON,Sydney,Qudos Bank Arena,Ticketek,FB
Australia,Concert,May 26,BTS,Ep. III The Wings Tour,"Sydney, Australia",Qudos Bank Arena,Ticketek,---
Australia,Concert,Aug 05,G-Dragon,"Act III, M.O.T.T.E.","Sydney, Australia",Qudos Bank Arena,LiveNation,---
Canada,Concert,Thur,Mar 23,Various,Club Eskimo Canada Tour,"Vancouver, BC",Vogue Theatre,Ticketfly
Canada,Concert,Sun,Mar 26,Various,Club Eskimo Canada Tour,"Toronto, ON",The Opera House,Eventbee
Canada,Concert,Aug 30,Taeyang,White Night,"Mississauga, ON",The International Centre,MegaBoxOffice,Site
Canada,Concert,May 19,The One,Canada Tour Toronto,"North York, ON",Toronto Centre for the Arts,Ticketmaster,FB
Canada,Fanmeet,May 12-13,"BTOB, KARD",Toronto Kpop Con 2017,"Toronto, ON",John Bassett Theatre,TKC,FB
Canada,Concert,Jul 06,"G2, Reddy",Universe x G2's Life Tour,"Toronto, ON",Lee's Palace,---,FB
Canada,Concert,Jul 30,G-Dragon,"Act III, M.O.T.T.E.","Toronto, ON",Air Canada Centre,Ticketmaster,---
Canada,Concert,Aug 25,Seventeen,Diamond Edge,"Toronto, ON",Massey Hall,Venue Site,Site
Canada,Concert,Sep 08,Hyukoh,tour',"Toronto, ON",The Opera House,Ticketfly,FB
Canada,Concert,Oct 27,VIXX,Shangri-La,"Toronto, ON",John Bassett Theatre,Eventbee,FB
Canada,Fanmeet,Oct 29,DAY6,Live & Meet,"Toronto, ON",John Bassett Theatre,Eventbrite,Site
Canada,Concert,Jul 01,"G2, Reddy",Universe x G2's Life Tour,"Vancouver, BC",Privé Nightclub,Eventbrite,FB
Canada,Concert,Sep 14,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
Canada,Festival,Sept 14-15,"Hyukoh, Taeyeon",Albatross Music Festival,"Vancouver, BC",Hastings Racecourse,TicketZone,Site
Canada,Concert,Sep 15,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
Canada,Concert,Oct 29,VIXX,Shangri-La,"Vancouver, BC",Hard Rock Casino Vancouver,Ticketmaster,FB
Canada,Concert,Wed,May 03,K.A.R.D,Wild Kard,"Vancouver, BC",Harbour Event Centre,Eventbee
Chile,Concert,Aug 29,Seventeen,Diamond Edge,"Santiago, Chile",Movistar Arena,Punto Ticket,Site
Chile,Concert,Sep 14,Monsta X,Beautiful,"Santiago, Chile",Movistar Arena,---,MyMusicTaste
Czech,Concert,May 26,Grace,K-Pop K-Hiphop Party,"Prague, Czech Republic",Style Dance Club,---,FB
Finland,Concert,Sun,Feb 26,Block B,Live Blockbuster,"Helsinki, Finland",The Circus,MyMusicTaste
France,Concert,Aug 09,Monsta X,Beautiful in Europe,"Paris, France",L'Olympia Bruno Coquatrix,MyMusicTaste,---
France,Concert,Sep 28,G-Dragon,"Act III, M.O.T.T.E.","Paris, France",AccorHotels Arena,Ticketmaster,---
France,Concert,Oct 27,F.T. Island,Live [X],"Paris, France",Élysée Montmartre,MyMusicTaste,MyMusicTaste
France,Concert,Oct 29,Hyukoh,tour',"Paris, France",YOYO Palais de Tokyo,Ticketmaster,FB
France,Concert,Wed,May 03,B.A.P.,Party Baby,"Paris, France",Le Zénith Paris,Weezevent
Germany,Concert,Aug 11,Monsta X,Beautiful in Europe,"Berlin, Germany",Tempodrom,MyMusicTaste,---
Germany,Concert,Sep 30,G-Dragon,"Act III, M.O.T.T.E.","Berlin, Germany",Mercedes-Benz Arena,LiveNation,---
Germany,Concert,May 20,Grace,K-Pop K-Hiphop Party,"Düsseldorf, Germany",Schlösser Quartier Bohème,Ticket Tailor,FB
Germany,Concert,May 27,Grace,K-Pop K-Hiphop Party,"Hamburg, Germany",Club Hamburg,---,FB
Hong Kong,Concert,May 13,BTS,Ep. III The Wings Tour,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,May 20,SHINee,SHINee World V,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Jun 10,Taeyeon,PERSONA,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Jun 11,Taeyeon,PERSONA,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Aug 12,Seventeen,Diamond Edge,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,---,---
Hong Kong,Concert,Aug 19-20,CN Blue,Between Us,"Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Aug 25-26,G-Dragon,"ACT III, M.O.T.T.E","Chek Lap Kok, Hong Kong",AsiaWorld Arena,HK Ticketing,---
Hong Kong,Concert,Nov 25,IU,팔레트 (Palette),"Chek Lap Kok, Hong Kong",AsiaWorld Arena,CityLine,---
Hong Kong,Concert,May 20,T-ara,Live in Macau,"Estr. Flor de Lotus, Macau",Studio City Event Center,HK Ticketing,---
Hong Kong,Concert,May 13,"Kush, Zion.T",‘OO’ Live,"Kowloon Bay, Hong Kong",Kowloon Bay Exhibition Centre,HK Ticketing,---
Hong Kong,Concert,May 21,B1A4,Live Space in Hong Kong,"Kowloon Bay, Hong Kong",Kowloon Bay Exhibition Centre,HK Ticketing,---
