Country,Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map
Argentina,Concert,Nov 22,Eric Nam,House on a Hill World Tour,"Buenos Aires, AR",Niceto Club
Australia,Concert,Nov 4,TWICE,READY TO BE,"Melbourne, VIC",Marvel Stadium
Brazil,Concert,Nov 20,Eric Nam,House on a Hill World Tour,"Sao Paulo, BR",Cine Joia
Brazil,Concert,2/6-2/7/24,TWICE,READY TO BE,"Sao Paulo, BR",Allianz Parque
Canada,Festival,Jun 10,"Kwon Eunbi, KINGDOM",K-Fest,"Ottawa, ON",Landsdowne Park
Canada,Concert,Nov 1,Eric Nam,House on a Hill World Tour,"Vancouver, BC",PNE Forum
Canada,Concert,Nov 2,DJ HYO,2023 Tour,"Vancouver, BC",
Chile,Concert,Nov 23,Eric Nam,House on a Hill World Tour,"Santiago, CL",Teatro Cariola
Germany,Festival,4/20/24,"NCT Dream, aespa, TBA",KPOP BANG,"Gelsenkirchen, DE",VELTINS-Arena
Hong Kong,Fan-Con,Dec 20,MAMAMOO+,Two Rabbits Code,Hong Kong,Convention & Exhibition Centre
Hong Kong,Concert,1/20/24,STAYC,TEENFRESH,Hong Kong,
Hong Kong,Concert,1/20-21/24,SEVENTEEN,FOLLOW' Tour,Macau,
Indonesia,Fan-Con,Nov 18,MAMAMOO+,Two Rabbits Code,Jakarta,Sutera Hall
Indonesia,Concert,Dec 23,TWICE,READY TO BE,Jakarta,Jakarta Int'l Stadium
Japan,Concert,Nov 1,Bobby (iKON),~SiR~: REBOOT,Osaka,Zepp Osaka Bayside
Japan,Concert,Nov 6,WOODZ,OO-LI AND,Osaka,
Japan,Concert,Nov 6,WOODZ,OO-LI AND,"Nagoya, Aichi",
Japan,Concert,Nov 9,Bobby (iKON),~SiR~: REBOOT,Tokyo,Zepp DiverCity
Japan,Concert,Nov 10,WOODZ,OO-LI AND,"Yokohama, Kanagawa",
Japan,Concert,Nov 15-16,IVE,SHOW WHAT I HAVE,"Yokohama, Kanagawa",K-Arena
Japan,Concert,Nov 23-24,SEVENTEEN,FOLLOW,Saitama,Belluna Dome
Japan,Concert,Nov 30,SEVENTEEN,FOLLOW,"Aichi, Nagoya",Vantelin Dome
Japan,Concert,Dec 2-3,SEVENTEEN,FOLLOW,"Aichi, Nagoya",Vantelin Dome
Japan,Concert,"Dec 7, 9-10",SEVENTEEN,FOLLOW,Osaka,Kyocera Dome
Japan,Concert,Dec 16-17,SEVENTEEN,FOLLOW,Fukuoka,PayPay Dome
Japan,Fanmeet,TBA,Moonbin & Sanha (ASTRO),DIFFUSION,Tokyo,
Japan,Fanmeet,TBA,Moonbin & Sanha (ASTRO),DIFFUSION,Osaka,
Malaysia,Concert,July,iKON,TAKE OFF,Kuala Lumpur,
Malaysia,Fan-Con,Nov 17,MAMAMOO+,Two Rabbits Code,Kuala Lumpur,Zepp Kuala Lumpur
Mexico,Concert,Nov 28,Eric Nam,House on a Hill World Tour,Mexico City,Foro Puebla
Mexico,Concert,2/3/24,TWICE,READY TO BE,Mexico City,Foro Sol
Netherlands,Concert,TBA,XODIAC,Debut Showcase,"Amsterdam, NL",Melkweg
Paraguay,Concert,1/11/24,VAV,Subconscious,"San Juan, PR",
Paraguay,Concert,TBA,DKB,Meet & Live Grand America,"San Juan, PR",Teatro de la Universidad de Puerto Rico
Peru,Concert,Nov 25,Eric Nam,House on a Hill World Tour,"Lima, PE",Scencia
Singapore,Fan-Con,Nov 15,MAMAMOO+,Two Rabbits Code,Singapore,Star Theatre
Singapore,Concert,2/16/24,STAYC,TEENFRESH,Singapore,
South Korea,Concert,Nov 17-19,NCT 127,NEO CITY: THE UNITY,Seoul,KSPO Dome
South Korea,Concert,Nov 24-26,NCT 127,NEO CITY: THE UNITY,Seoul,KSPO Dome
Spain,Concert,TBA,iKON,TAKE OFF,"Madrid, ES",
Sweden,Convention,TBA,"MustB, LUMINOUS, DKZ, Brooklyn, Pink Fantasy",KON,"Stockholm, SE",
Taiwan,Concert,Nov 18,WOODZ,OO-LI AND,Taipei,
Taiwan,Concert,Jan 14,STAYC,TEENFRESH,Taipei,
Thailand,Concert,Dec 17,WOODZ,OO-LI AND,Bangkok,
Thailand,Concert,Dec 23,SEVENTEEN,FOLLOW' Tour,Bangkok,
The Philippines,Fan-Con,Dec 17,MAMAMOO+,Two Rabbits Code,Manila,New Frontier Theatre
The Philippines,Concert,1/14/24,SEVENTEEN,FOLLOW' Tour,Bulacan,
The Philippines,Festival,TBA,"Dara, Minzy (2NE1)",EPICON,Manila,SM MOA Festival Grounds
United Kingdom,Concert,Jun 23,Lee Sungjong (INFINITE),THE ONE,London,Conway
United Kingdom,Concert,TBA,XODIAC,Debut Showcase,London,Clapham Grand
USA,Concert,Nov 1,EVERGLOW,ALL MY GIRLS,"New Haven, CT",College Street Music Hall
USA,Concert,Nov 1,PURPLE KISS,FESTA Tour,"New York, NY",Queens Theatre
USA,Concert,Nov 1,xikers,TRICKY HOUSE: First Encounter,"Los Angeles, CA",The Orpheum
USA,Concert,Nov 3,AB6IX,THE FUTURE,"Chicago, IL",
USA,Concert,Nov 3,Eric Nam,House on a Hill World Tour,"Seattle, WA",Showbox SoDo
USA,Concert,Nov 3,EVERGLOW,ALL MY GIRLS,"New York, NY",Kings Theatre
USA,Concert,Nov 3,PURPLE KISS,FESTA Tour,TBA,TBA
USA,Concert,Nov 3,The Rose,Dawn to Dusk,"Houston, TX",713 Music Hall
USA,Concert,Nov 4,Eric Nam,House on a Hill World Tour,"Portland, OR",Roseland Theater
USA,Concert,Nov 4,PURPLE KISS,FESTA Tour,"Philadelphia, PA",Temple Performing Arts Center
USA,Concert,Nov 4,xikers,TRICKY HOUSE: First Encounter,"San Francisco, CA",The Warfield
USA,Concert,Nov 5,AB6IX,THE FUTURE,"Jersey City, NJ",
USA,Concert,Nov 5,The Rose,Dawn to Dusk,"Grand Prarie, TX",Texas Trust CU Theatre
USA,Concert,Nov 6,Eric Nam,House on a Hill World Tour,"Oakland, CA",Fox Theater
USA,Concert,Nov 6,PURPLE KISS,FESTA Tour,"Charlotte, NC",Blackbox Theatre
USA,Concert,Nov 6,EVERGLOW,ALL MY GIRLS,"Atlanta, GA",Tabernacle
USA,Concert,Nov 7,AB6IX,THE FUTURE,"Atlanta, GA",Masquerade - Heaven
USA,Concert,Nov 7,Eric Nam,House on a Hill World Tour,"Wheatland, CA",Hard Rock Live
USA,Concert,Nov 7,The Rose,Dawn to Dusk,"Austin, TX",ACL Live @ Moody Theater
USA,Concert,Nov 8,EVERGLOW,ALL MY GIRLS,"Washington, DC",Warner Theatre
USA,Concert,Nov 8,PURPLE KISS,FESTA Tour,"Columbus, OH",King of Clubs
USA,Concert,Nov 9,AB6IX,THE FUTURE,"Dallas, TX",
USA,Concert,Nov 9,PURPLE KISS,FESTA Tour,"Detroit, MI",Garden Theatre
USA,Concert,Nov 10,Eric Nam,House on a Hill World Tour,"Las Vegas, NV",Brooklyn Bowl
USA,Concert,Nov 10,EVERGLOW,ALL MY GIRLS,"St. Petersburg, FL",Mahaffey Theater
USA,Concert,Nov 10,The Rose,Dawn to Dusk,"Phoenix, AZ",Arizona Financial Theatre
USA,Concert,Nov 11,AB6IX,THE FUTURE,"San Francisco, CA",
USA,Concert,Nov 11,PURPLE KISS,FESTA Tour,"Louisville, KY",Art Sanctuary
USA,Concert,Nov 11,Eric Nam,House on a Hill World Tour,"Los Angeles, CA",Shrine Expo Hall
USA,Concert,Nov 12,AB6IX,THE FUTURE,"Los Angeles, CA",
USA,Concert,Nov 12,The Rose,Dawn to Dusk,"Inglewood, CA",Kia Forum
USA,Concert,Nov 12,PURPLE KISS,FESTA Tour,"Nashville, TN",Riverside Revival
USA,Concert,Nov 13,Eric Nam,House on a Hill World Tour,"Anaheim, CA",House of Blues
USA,Concert,Nov 13,EVERGLOW,ALL MY GIRLS,"Louisville, KY",Louisville Palace
USA,Concert,Nov 14,Eric Nam,House on a Hill World Tour,"San Diego, CA",SOMA
USA,Concert,Nov 14,PURPLE KISS,FESTA Tour,"Kansas City, MO",Gem Theatre
USA,Concert,Nov 15,Eric Nam,House on a Hill World Tour,"Phoenix, AZ",Van Buren
USA,Concert,Nov 15,EVERGLOW,ALL MY GIRLS,"Chicago, IL",Patio Theater
USA,Concert,Nov 16,PURPLE KISS,FESTA Tour,"Chicago, IL",North Shore Center
USA,Concert,Nov 17,EVERGLOW,ALL MY GIRLS,"Denver, CO",Fillmore Auditorium
USA,Concert,Nov 18,PURPLE KISS,FESTA Tour,"Minneapolis, MN",Granada Theater
USA,Concert,Nov 20,EVERGLOW,ALL MY GIRLS,"San Francisco, CA",The Warfield
USA,Concert,Nov 20,PURPLE KISS,FESTA Tour,"Denver, CO",Oriental Theater
USA,Concert,Nov 22,EVERGLOW,ALL MY GIRLS,"Los Angeles, CA",The Wiltern
USA,Concert,Nov 22,PURPLE KISS,FESTA Tour,"Dallas, TX",Gilley's
USA,Concert,Nov 24,PURPLE KISS,FESTA Tour,"San Antonio, TX",Vibes Event Center
USA,Concert,Nov 26,PURPLE KISS,FESTA Tour,"Phoenix, AZ",Herberger Theater Center
USA,Concert,Nov 28,PURPLE KISS,FESTA Tour,"Los Angeles, CA",Palace Theatre
USA,Concert,Nov 30,WOODZ,OO-LI AND,"Los Angeles, CA",Terrace Theater
USA,Concert,Dec 2,WOODZ,OO-LI AND,"San Francisco, CA",
USA,Concert,Dec 3,Chuu,HOWL in USA,"Los Angeles, CA",Orpheum Theatre
USA,Concert,Dec 4,WOODZ,OO-LI AND,"Chicago, IL",Arie Crown Theater
USA,Concert,Dec 5,Chuu,HOWL in USA,"Oakland, CA",Paramount Theatre
USA,Concert,Dec 6,WOODZ,OO-LI AND,"Houston, TX",Smart Financial Centre
USA,Concert,Dec 7,Chuu,HOWL in USA,"Denver, CO",Fillmore Auditorium
USA,Concert,Dec 8,WOODZ,OO-LI AND,"Atlanta, GA",Gas South Arena
USA,Concert,Dec 11,Chuu,HOWL in USA,"Washington, DC",MGM Nat'l Harbor
USA,Concert,Dec 11,WOODZ,OO-LI AND,"New York, NY",Kings Theatre
