Country,Type,Date,Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Argentina,Concert,2017-09-12 00:00:00,Monsta X,Beautiful,"Buenos Aires, Argentina",Luna Park,---,MyMusicTaste
Argentina,Concert,2017-10-04 00:00:00,K.A.R.D,Wild Kard Pt.2,"Buenos Aires, Argentina",Teatro Vorterix,AllAccess,MyMusicTaste
Australia,Concert,2017-08-08 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Brisbane, Australia",Brisbane Entertainment Centre,LiveNation,---
Australia,Concert,2017-08-12 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Melbourne, Australia",Hisense Arena,LiveNation,---
Australia,Concert,2017-09-22 00:00:00,Various,KCON,Sydney,Qudos Bank Arena,Ticketek,FB
Australia,Concert,2017-05-26 00:00:00,BTS,Ep. III The Wings Tour,"Sydney, Australia",Qudos Bank Arena,Ticketek,---
Australia,Concert,2017-08-05 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Sydney, Australia",Qudos Bank Arena,LiveNation,---
Canada,Concert,2017-03-23 00:00:00,Mar 23,Various,Club Eskimo Canada Tour,"Vancouver, BC",Vogue Theatre,Ticketfly
Canada,Concert,2017-03-26 00:00:00,Mar 26,Various,Club Eskimo Canada Tour,"Toronto, ON",The Opera House,Eventbee
Canada,Concert,2017-08-30 00:00:00,Taeyang,White Night,"Mississauga, ON",The International Centre,MegaBoxOffice,Site
Canada,Concert,2017-05-19 00:00:00,The One,Canada Tour Toronto,"North York, ON",Toronto Centre for the Arts,Ticketmaster,FB
Canada,Fanmeet,2017-05-12 00:00:00,"BTOB, KARD",Toronto Kpop Con 2017,"Toronto, ON",John Bassett Theatre,TKC,FB
Canada,Concert,2017-07-06 00:00:00,"G2, Reddy",Universe x G2's Life Tour,"Toronto, ON",Lee's Palace,---,FB
Canada,Concert,2017-07-30 00:00:00,G-Dragon,"Act III, M.O.T.T.E.","Toronto, ON",Air Canada Centre,Ticketmaster,---
Canada,Concert,2017-08-25 00:00:00,Seventeen,Diamond Edge,"Toronto, ON",Massey Hall,Venue Site,Site
Canada,Concert,2017-09-08 00:00:00,Hyukoh,tour',"Toronto, ON",The Opera House,Ticketfly,FB
Canada,Concert,2017-10-27 00:00:00,VIXX,Shangri-La,"Toronto, ON",John Bassett Theatre,Eventbee,FB
Canada,Fanmeet,2017-10-29 00:00:00,DAY6,Live & Meet,"Toronto, ON",John Bassett Theatre,Eventbrite,Site
Canada,Concert,2017-07-01 00:00:00,"G2, Reddy",Universe x G2's Life Tour,"Vancouver, BC",Privé Nightclub,Eventbrite,FB
Canada,Concert,2017-09-14 00:00:00,Taeyang,White Night,"Vancouver, BC",Orpheum,MegaBoxOffice,Site
