country,publishedAt,trending_date,tags,view_count,likes,comment_count
Brazil,2020-08-08T15:00:09Z,2020-08-12T00:00:00Z,Now United|Nowunited|New united|one united|now united episode|the now united show|bailey may|now united bailey may|summer in the city|now united members|now united show|we are now united|nowunited philippines|now united any|now united sina|josh beauchamp|noah urrea|now united|mame|diarra|فرقة now united|ناو يونايتد|nobody fools me twice|heyoon|korean|k-pop,2758839,398873,52794
Brazil,2020-08-08T15:00:09Z,2020-08-13T00:00:00Z,Now United|Nowunited|New united|one united|now united episode|the now united show|bailey may|now united bailey may|summer in the city|now united members|now united show|we are now united|nowunited philippines|now united any|now united sina|josh beauchamp|noah urrea|now united|mame|diarra|فرقة now united|ناو يونايتد|nobody fools me twice|heyoon|korean|k-pop,2959250,408147,55230
Brazil,2020-08-08T15:00:09Z,2020-08-14T00:00:00Z,Now United|Nowunited|New united|one united|now united episode|the now united show|bailey may|now united bailey may|summer in the city|now united members|now united show|we are now united|nowunited philippines|now united any|now united sina|josh beauchamp|noah urrea|now united|mame|diarra|فرقة now united|ناو يونايتد|nobody fools me twice|heyoon|korean|k-pop,3141869,416039,57177
Brazil,2020-08-08T15:00:09Z,2020-08-15T00:00:00Z,Now United|Nowunited|New united|one united|now united episode|the now united show|bailey may|now united bailey may|summer in the city|now united members|now united show|we are now united|nowunited philippines|now united any|now united sina|josh beauchamp|noah urrea|now united|mame|diarra|فرقة now united|ناو يونايتد|nobody fools me twice|heyoon|korean|k-pop,3332933,423114,58442
Brazil,2020-08-22T15:00:04Z,2020-08-23T00:00:00Z,KARD|카드|소민|전소민|SOMIN|sominjeon|지우|전지우|jiwoo|jiwoojeon|쏨|쥬|쏘미니|뽀빠이|김형제|제이셉|jseph|김태형|태형|태방이|비엠|뺌|bm|매튜|matthew|메튜|매뚝이|korea|k-pop|오나나|ohnana|돈리콜|don'trecall|rumor|루머|kpop|king|ace|joker|mv|musicvideo|올라올라|holahola|유인미|youinme|rideonthewind|라이드온더윈드|RDOW|KOMHD|Knockingonmyheveansdoor|kardklip|behind|klip|밤밤|BombBomb|카더라통신|카더라|KardtheLive|KTL|dumblitty|덤리티|dumb|litty|덤리리|덤리디,293112,96361,5060
Brazil,2020-08-23T15:00:04Z,2020-08-24T00:00:00Z,KARD|카드|소민|전소민|SOMIN|sominjeon|지우|전지우|jiwoo|jiwoojeon|쏨|쥬|쏘미니|뽀빠이|김형제|제이셉|jseph|김태형|태형|태방이|비엠|뺌|bm|매튜|matthew|메튜|매뚝이|korea|k-pop|오나나|ohnana|돈리콜|don'trecall|rumor|루머|kpop|king|ace|joker|mv|musicvideo|올라올라|holahola|유인미|youinme|rideonthewind|라이드온더윈드|RDOW|KOMHD|Knockingonmyheveansdoor|kardklip|behind|klip|밤밤|BombBomb|카더라통신|카더라|KardtheLive|KTL|dumblitty|덤리티|dumb|litty|덤리리|덤리디|kard red moon|kard way with words|kard gun shot|kard gunshot|gunshot|카드 건샷|건샷,514015,132641,5591
Brazil,2020-08-24T15:00:03Z,2020-08-25T00:00:00Z,KARD|카드|소민|전소민|SOMIN|sominjeon|지우|전지우|jiwoo|jiwoojeon|쏨|쥬|쏘미니|뽀빠이|김형제|제이셉|jseph|김태형|태형|태방이|비엠|뺌|bm|매튜|matthew|메튜|매뚝이|korea|k-pop|오나나|ohnana|돈리콜|don'trecall|rumor|루머|kpop|king|ace|joker|mv|musicvideo|올라올라|holahola|유인미|youinme|rideonthewind|라이드온더윈드|RDOW|KOMHD|Knockingonmyheveansdoor|kardklip|behind|klip|밤밤|BombBomb|카더라통신|카더라|KardtheLive|KTL|dumblitty|덤리티|dumb|litty|덤리리|덤리디|gunshot|kard gunshot|카드 건샷|건샷,466695,127835,5154
Brazil,2020-08-23T15:00:04Z,2020-08-25T00:00:00Z,KARD|카드|소민|전소민|SOMIN|sominjeon|지우|전지우|jiwoo|jiwoojeon|쏨|쥬|쏘미니|뽀빠이|김형제|제이셉|jseph|김태형|태형|태방이|비엠|뺌|bm|매튜|matthew|메튜|매뚝이|korea|k-pop|오나나|ohnana|돈리콜|don'trecall|rumor|루머|kpop|king|ace|joker|mv|musicvideo|올라올라|holahola|유인미|youinme|rideonthewind|라이드온더윈드|RDOW|KOMHD|Knockingonmyheveansdoor|kardklip|behind|klip|밤밤|BombBomb|카더라통신|카더라|KardtheLive|KTL|dumblitty|덤리티|dumb|litty|덤리리|덤리디|kard red moon|kard way with words|kard gun shot|kard gunshot|gunshot|카드 건샷|건샷,771222,163903,6265
Brazil,2020-08-22T15:00:04Z,2020-08-25T00:00:00Z,KARD|카드|소민|전소민|SOMIN|sominjeon|지우|전지우|jiwoo|jiwoojeon|쏨|쥬|쏘미니|뽀빠이|김형제|제이셉|jseph|김태형|태형|태방이|비엠|뺌|bm|매튜|matthew|메튜|매뚝이|korea|k-pop|오나나|ohnana|돈리콜|don'trecall|rumor|루머|kpop|king|ace|joker|mv|musicvideo|올라올라|holahola|유인미|youinme|rideonthewind|라이드온더윈드|RDOW|KOMHD|Knockingonmyheveansdoor|kardklip|behind|klip|밤밤|BombBomb|카더라통신|카더라|KardtheLive|KTL|dumblitty|덤리티|dumb|litty|덤리리|덤리디,456435,122294,5615
Brazil,2020-08-24T15:00:03Z,2020-08-26T00:00:00Z,KARD|카드|소민|전소민|SOMIN|sominjeon|지우|전지우|jiwoo|jiwoojeon|쏨|쥬|쏘미니|뽀빠이|김형제|제이셉|jseph|김태형|태형|태방이|비엠|뺌|bm|매튜|matthew|메튜|매뚝이|korea|k-pop|오나나|ohnana|돈리콜|don'trecall|rumor|루머|kpop|king|ace|joker|mv|musicvideo|올라올라|holahola|유인미|youinme|rideonthewind|라이드온더윈드|RDOW|KOMHD|Knockingonmyheveansdoor|kardklip|behind|klip|밤밤|BombBomb|카더라통신|카더라|KardtheLive|KTL|dumblitty|덤리티|dumb|litty|덤리리|덤리디|gunshot|kard gunshot|카드 건샷|건샷,601327,143866,5672
