Asia,,,,,,,
South Korea,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Nov 17-19,NCT 127,NEO CITY: THE UNITY,Seoul,KSPO Dome,,
Concert,Nov 24-26,NCT 127,NEO CITY: THE UNITY,Seoul,KSPO Dome,,
Japan,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Nov 1,Bobby (iKON),~SiR~: REBOOT,Osaka,Zepp Osaka Bayside,,
Concert,Nov 6,WOODZ,OO-LI AND,Osaka,,,
Concert,Nov 6,WOODZ,OO-LI AND,"Nagoya, Aichi",,,
Concert,Nov 9,Bobby (iKON),~SiR~: REBOOT,Tokyo,Zepp DiverCity,,
Concert,Nov 10,WOODZ,OO-LI AND,"Yokohama, Kanagawa",,,
Concert,Nov 15-16,IVE,SHOW WHAT I HAVE,"Yokohama, Kanagawa",K-Arena,,
Concert,Nov 23-24,SEVENTEEN,FOLLOW,Saitama,Belluna Dome,,
Concert,Nov 30,SEVENTEEN,FOLLOW,"Aichi, Nagoya",Vantelin Dome,,
Concert,Dec 2-3,SEVENTEEN,FOLLOW,"Aichi, Nagoya",Vantelin Dome,,
Concert,"Dec 7, 9-10",SEVENTEEN,FOLLOW,Osaka,Kyocera Dome,,
Concert,Dec 16-17,SEVENTEEN,FOLLOW,Fukuoka,PayPay Dome,,
Fanmeet,TBA,Moonbin & Sanha (ASTRO),DIFFUSION,Tokyo,,,
Fanmeet,TBA,Moonbin & Sanha (ASTRO),DIFFUSION,Osaka,,,
Taiwan,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,Nov 18,WOODZ,OO-LI AND,Taipei,,,
Concert,Jan 14,STAYC,TEENFRESH,Taipei,,,
Southeast Asia,1/14/24,STAYC,TEENFRESH,Taipei,,,
Hong Kong/Macau,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Fan-Con,Dec 20,MAMAMOO+,Two Rabbits Code,Hong Kong,Convention & Exhibition Centre,,
Concert,1/20/24,STAYC,TEENFRESH,Hong Kong,,,
Concert,1/20-21/24,SEVENTEEN,FOLLOW' Tour,Macau,,,
Indonesia,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Fan-Con,Nov 18,MAMAMOO+,Two Rabbits Code,Jakarta,Sutera Hall,,
Concert,Dec 23,TWICE,READY TO BE,Jakarta,Jakarta Int'l Stadium,,
Malaysia,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
Concert,July,iKON,TAKE OFF,Kuala Lumpur,,,
Fan-Con,Nov 17,MAMAMOO+,Two Rabbits Code,Kuala Lumpur,Zepp Kuala Lumpur,,
The Philippines,,,,,,,
Type,Date(s),Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
